name,cgpa
ywo,9.410000
ywf,9.720000
yxi,9.750000
yxj,9.920000
yxa,9.950000
yxe,9.960000
yvr,9.940000
yur,9.030000
yuh,9.330000
yuu,9.460000
yut,9.480000
yub,9.520000
yuj,9.740000
yua,9.790000
yts,9.970000
ytc,9.090000
ytn,9.170000
ytf,9.260000
ytb,9.360000
yti,9.440000
ytg,9.490000
ytq,9.680000
ysy,9.760000
ysw,9.800000
ysb,9.260000
yru,9.580000
yrq,9.610000
yrv,9.690000
yrm,9.720000
ysi,9.770000
yrg,9.870000
yrs,9.890000
yqi,9.850000
yqo,9.940000
ypl,9.080000
yow,9.120000
ypi,9.240000
you,9.320000
yoz,9.390000
ypw,9.530000
ypk,9.680000
ypa,9.830000
ypd,9.960000
ynt,9.040000
yoj,9.270000
ynp,9.540000
yom,9.580000
yoe,9.660000
yoo,9.880000
ynd,9.470000
ymx,9.510000
ymq,9.520000
ymf,9.490000
yll,9.920000
ylm,9.940000
ymc,9.950000
ykq,9.090000
ykn,9.550000
ylb,9.660000
ykh,9.760000
yjm,9.030000
yit,9.220000
yiz,9.460000
yja,9.770000
yjp,9.890000
yht,9.120000
yhv,9.180000
yil,9.230000
yij,9.450000
yhx,9.690000
yif,9.900000
ygj,9.010000
ygv,9.010000
yhg,9.070000
ygi,9.460000
ygy,9.740000
ygl,9.940000
yge,9.950000
yfm,9.190000
yfg,9.260000
yfn,9.320000
yfj,9.360000
yfx,9.460000
yfu,9.660000
yfq,9.890000
yfc,9.950000
yeq,9.230000
yec,9.420000
yel,9.850000
yek,10.000000
ydd,9.120000
ydh,9.240000
ydb,9.430000
ydo,9.590000
ycv,9.810000
ydn,9.880000
yct,9.930000
ych,9.290000
ybq,9.390000
ybv,9.740000
yck,9.760000
ybh,9.810000
ybx,9.820000
ycg,9.870000
yci,9.880000
yak,9.250000
yaz,9.360000
yao,9.640000
yam,9.810000
xzk,9.070000
xze,9.410000
xzb,9.600000
xzi,9.890000
xzm,9.910000
xye,9.180000
xyg,9.200000
xxo,9.210000
xxv,9.260000
xxt,9.280000
xyc,9.570000
xyd,9.640000
xxw,9.700000
xxy,9.700000
xyn,9.790000
xyk,9.890000
xwx,9.070000
xwt,9.120000
xwo,9.130000
xwy,9.210000
xxe,9.380000
xxb,9.480000
xxg,9.700000
xvp,9.010000
xwc,9.030000
xve,9.070000
xvh,9.130000
xvz,9.350000
xuy,9.030000
xud,9.040000
xux,9.260000
xul,9.430000
xvb,9.540000
xuh,9.600000
xuc,9.660000
xta,9.180000
xtt,9.270000
xtl,9.530000
xtf,9.710000
xth,9.730000
xsq,9.790000
xsu,9.800000
xtd,9.820000
xtm,9.880000
xss,9.970000
xsv,9.980000
xsb,9.800000
xsk,9.980000
xrh,9.100000
xqw,9.320000
xqi,9.370000
xqs,9.440000
xqj,9.720000
xqq,9.840000
xpq,9.060000
xpl,9.090000
xoy,9.180000
xpx,9.180000
xpy,9.380000
xpv,9.640000
xpe,9.870000
xpz,9.910000
xnv,9.110000
xoh,9.660000
xoe,9.760000
xnr,9.030000
xng,9.050000
xnn,9.380000
xnd,9.590000
xnc,9.610000
xmv,9.940000
xnk,9.990000
xml,9.040000
xmd,9.120000
xlz,9.320000
xmj,9.350000
xlj,9.400000
xlo,9.620000
xlp,9.730000
xme,9.840000
xmk,9.930000
xlu,9.960000
xkk,9.040000
xkl,9.090000
xla,9.100000
xkz,9.450000
xkx,9.490000
xkq,9.720000
xle,9.740000
xkw,9.820000
xki,9.920000
xjl,9.070000
xjc,9.680000
xjw,9.770000
xjj,9.910000
xjv,9.920000
xit,9.030000
xhu,9.060000
xhv,9.230000
xhw,9.610000
xia,9.820000
xht,9.840000
xhb,9.040000
xhj,9.160000
xhc,9.380000
xhi,9.450000
xgk,9.620000
xhd,9.790000
xgq,9.980000
xgd,9.160000
xfq,9.380000
xfm,9.490000
xee,9.030000
xea,9.070000
xep,9.150000
xed,9.230000
xex,9.600000
xfb,9.980000
xdm,9.060000
xcu,9.490000
xdr,9.550000
xcs,9.650000
xcg,9.270000
xcb,9.320000
xco,9.450000
xbx,9.510000
xbr,9.690000
xbu,9.730000
xbt,9.890000
xbh,9.040000
xaq,9.730000
xam,9.820000
xas,9.850000
xar,9.870000
wzl,9.090000
wzs,9.370000
xaa,9.380000
wzm,9.590000
wxw,9.040000
wys,9.050000
wyp,9.090000
wxv,9.130000
wym,9.410000
wyn,9.630000
wyv,9.820000
wyj,9.860000
wxs,9.960000
wwu,9.030000
wwx,9.040000
wxg,9.530000
wxl,9.540000
www,9.570000
wxd,9.900000
wvy,9.020000
wvm,9.340000
wwh,9.410000
wvx,9.760000
wwe,9.800000
wvn,9.970000
wuo,9.070000
wuf,9.500000
wuk,9.590000
wua,9.680000
wuh,9.840000
wul,9.960000
wum,10.000000
wup,10.000000
wtp,9.160000
wtd,9.260000
wti,9.630000
wsr,9.180000
wsc,9.290000
wso,9.400000
wsa,9.540000
wsm,9.700000
wqi,9.020000
wqk,9.030000
wqy,9.150000
wrh,9.290000
wqz,9.460000
wrj,9.460000
wre,9.600000
wql,9.610000
wrn,9.680000
wpu,9.030000
wqh,9.070000
wpp,9.610000
wqe,9.940000
wox,9.070000
woc,9.140000
wob,9.150000
woo,9.200000
wny,9.370000
wop,9.660000
wow,9.700000
wnx,9.730000
wof,9.850000
wnv,9.030000
wmy,9.080000
wmt,9.100000
wnt,9.200000
wnd,9.230000
wnb,9.260000
wns,9.300000
wnl,9.670000
wnr,9.840000
wmw,9.960000
wmc,9.050000
wls,9.270000
wll,9.320000
wmi,9.320000
wmb,9.490000
wlr,9.680000
wmm,9.930000
wla,9.310000
wlh,9.360000
wkp,9.550000
wkm,9.640000
wlj,9.660000
wky,9.790000
wle,9.870000
wiy,9.410000
wjm,9.410000
wkc,9.470000
wjc,9.660000
wje,9.750000
wkd,9.950000
wid,9.050000
wim,9.060000
wis,9.070000
wie,9.150000
wit,9.320000
wiw,9.520000
wik,9.600000
wib,9.640000
wir,9.690000
wil,9.840000
wii,9.900000
whs,9.920000
wgy,9.160000
wgq,9.220000
wgr,9.560000
wfi,9.200000
wfm,9.460000
wfh,9.950000
wgh,10.000000
wep,9.450000
wex,9.680000
wef,9.800000
wfb,9.810000
wen,9.840000
weh,9.900000
wda,9.040000
wdf,9.080000
wcy,9.190000
wdr,9.380000
wdi,9.550000
wdn,9.580000
wdb,9.690000
wdy,9.750000
wdk,9.770000
wdw,9.930000
wdp,10.000000
wcn,9.230000
wbs,9.340000
wbq,9.610000
wbb,9.190000
wao,9.420000
wap,9.650000
was,9.690000
wbl,9.910000
wbj,9.960000
vzm,9.240000
wah,9.500000
vzj,9.620000
vzr,9.730000
vzq,9.970000
vxz,9.110000
vyi,9.190000
vyb,9.280000
vyn,9.420000
vyr,9.520000
vyp,9.540000
vxy,9.630000
vzb,9.670000
vyj,9.750000
vyw,9.750000
vxm,9.090000
vxk,9.330000
vwx,9.370000
vww,9.390000
vwt,9.950000
vwi,9.220000
vvm,9.230000
vvs,9.360000
vwf,9.510000
vvt,9.550000
vwc,9.660000
vwm,9.740000
vvn,9.750000
vum,9.020000
vuq,9.140000
vun,9.160000
vve,9.170000
vuu,9.260000
vvj,9.450000
vup,9.500000
vvd,9.680000
vux,9.780000
vuh,9.850000
vsy,9.010000
vtx,9.070000
vth,9.450000
vtp,9.750000
vsz,9.800000
vsj,9.320000
vsh,9.330000
vrv,9.540000
vsc,9.580000
vry,9.640000
vsl,9.680000
vrk,9.030000
vra,9.180000
vqv,9.230000
vqt,9.380000
vqn,9.600000
vrr,9.620000
vrg,9.750000
vqh,9.220000
vpl,9.530000
vql,9.810000
vps,9.820000
vpu,9.830000
voi,9.170000
von,9.210000
voe,9.490000
vow,9.570000
vof,9.650000
vmx,9.290000
vny,9.360000
vni,9.370000
vnh,9.610000
vnp,9.630000
vmt,9.030000
vmj,9.360000
vmm,9.360000
vlq,9.540000
vlr,9.710000
vmd,9.710000
vlp,9.770000
vle,9.050000
vll,9.420000
vki,9.510000
vkw,9.530000
vkq,9.610000
vkv,9.810000
vla,9.900000
vkp,9.920000
vkc,9.100000
vjy,9.240000
vjd,9.330000
vjv,9.330000
vjj,9.370000
vjw,9.610000
vjc,9.810000
vjr,9.940000
vir,9.190000
vis,9.450000
vii,9.560000
vit,9.660000
vjb,9.690000
viq,9.710000
vhw,9.960000
vja,9.970000
vgr,9.170000
vht,9.300000
vhc,9.360000
vhu,9.450000
vgs,9.480000
vgy,9.900000
vhi,9.960000
vfo,9.020000
vfv,9.020000
vfu,9.910000
veg,9.130000
vew,9.260000
vef,9.480000
vfi,9.590000
vep,9.880000
veb,9.080000
vdw,9.210000
vdu,9.230000
vdx,9.290000
vdz,9.510000
vdd,9.590000
vdq,9.850000
vds,9.880000
vcq,9.340000
vbx,9.400000
vbt,9.480000
vcs,9.620000
vck,9.790000
vbv,9.850000
vax,9.260000
vba,9.540000
vas,9.590000
vbm,9.770000
uzz,9.030000
uzt,9.230000
uzl,9.440000
vak,9.670000
uzp,9.720000
uzs,9.720000
vag,9.790000
uyg,9.080000
uyp,9.120000
uzd,9.210000
uyq,9.320000
uzc,9.350000
uyy,9.620000
uyf,9.860000
uyk,10.000000
uzf,10.000000
uxf,9.030000
uxg,9.270000
uxs,9.370000
uxb,9.390000
uxi,9.400000
uww,9.460000
uxd,9.610000
uxj,9.750000
uxw,9.850000
uxm,9.880000
uxp,9.880000
uvw,9.270000
uwh,9.790000
uvo,9.890000
uwi,9.890000
uvq,9.990000
uuv,9.010000
uvg,9.090000
uvi,9.110000
uvl,9.220000
uuu,9.370000
uuz,9.390000
uva,9.450000
uuc,9.160000
utk,9.410000
utg,9.710000
uty,9.770000
utx,9.860000
utm,9.900000
ury,9.260000
urw,9.500000
uta,9.640000
usi,9.770000
uqw,9.070000
urq,9.100000
urs,9.160000
url,9.240000
uqy,9.380000
uqv,9.470000
urf,9.580000
ure,9.660000
uqz,9.670000
uqu,9.680000
uqf,9.010000
uqc,9.070000
uqe,9.220000
uqj,9.340000
uqb,9.510000
uqm,9.670000
uoj,9.030000
uok,9.270000
uoi,9.610000
uov,9.690000
uos,9.890000
upj,9.960000
unz,9.090000
unh,9.470000
unw,9.540000
unv,9.600000
ung,9.630000
unj,9.650000
unl,9.750000
unb,9.840000
uob,9.900000
umd,9.160000
ump,9.510000
umq,9.520000
ult,9.630000
uml,9.710000
ums,9.910000
umh,9.930000
ulf,9.220000
ulb,9.240000
ukp,9.290000
ull,9.440000
ule,9.580000
uku,9.740000
ulr,9.810000
ukn,9.930000
ujy,9.230000
ujg,9.300000
ukk,9.310000
ujr,9.320000
uke,9.550000
ujz,9.650000
ujm,9.680000
ujv,9.750000
uiq,9.030000
uje,9.090000
uin,9.340000
ujf,9.430000
uif,9.490000
uig,9.860000
uih,9.940000
uja,9.960000
uhi,9.100000
uhb,9.170000
uga,9.090000
ufw,9.180000
ugj,9.210000
ufx,9.510000
uge,9.520000
ugo,9.590000
ugf,9.830000
ugr,9.990000
ues,9.080000
ueq,9.140000
ufa,9.370000
ufi,9.700000
ufb,9.870000
uev,9.890000
uer,9.940000
ueg,9.240000
udf,9.260000
udi,9.520000
udg,9.610000
ueb,9.810000
ucp,9.010000
ucf,9.040000
uch,9.260000
ucr,9.440000
ucj,9.450000
ucc,9.620000
ucd,9.680000
uct,9.800000
ubd,9.180000
uar,9.410000
ubp,9.430000
ube,9.470000
ubv,9.920000
uac,9.640000
tzx,9.860000
tyw,9.280000
tyv,9.500000
typ,9.510000
tzi,9.530000
tyn,9.550000
tzf,9.690000
tyt,9.790000
txb,9.030000
txm,9.040000
txp,9.060000
txu,9.150000
txv,9.430000
txl,9.560000
txi,9.690000
txn,9.760000
twx,9.050000
tvs,9.060000
tww,9.180000
twr,9.420000
twn,9.450000
twp,9.550000
twu,9.760000
tuq,9.210000
tvj,9.310000
tux,9.490000
tvf,9.550000
tut,9.660000
tuo,9.840000
tty,9.050000
tuk,9.090000
ttu,9.170000
ttj,9.180000
ttr,9.340000
tug,9.360000
tti,9.910000
ttf,9.030000
tta,9.050000
tsl,9.240000
tsh,9.280000
tsa,9.460000
tsu,9.470000
ttc,9.530000
trz,9.020000
trb,9.230000
trd,9.310000
tra,9.320000
trl,9.470000
trt,9.510000
trf,9.740000
trk,9.750000
tri,9.900000
tre,9.930000
tqa,9.090000
tqb,9.140000
tql,9.550000
tpy,9.620000
tqt,9.650000
tqe,9.690000
tpz,9.700000
tqm,9.790000
tqr,9.800000
toj,9.100000
tom,9.180000
tph,9.560000
tpg,9.680000
tod,9.010000
tni,9.520000
toe,9.640000
tnq,9.970000
tmc,9.500000
tmf,9.520000
tmn,9.680000
tmt,9.770000
tmm,9.810000
tlv,9.030000
tkx,9.230000
tlq,9.260000
tkw,9.300000
tlt,9.470000
tks,9.560000
tlf,9.690000
tkz,9.760000
tky,9.840000
tkg,9.100000
tjp,9.120000
tju,9.140000
tjr,9.150000
tjx,9.840000
tjo,9.850000
tiz,9.010000
tjd,9.280000
tit,9.380000
tik,9.420000
tja,9.630000
tiq,9.880000
tir,9.890000
thb,9.030000
thr,9.090000
thi,9.310000
the,9.360000
thy,9.360000
thk,9.700000
thu,9.730000
tft,9.080000
tgk,9.100000
tfs,9.870000
tfi,9.040000
tfr,9.180000
tfe,9.210000
tfq,9.230000
tet,9.250000
tfh,9.260000
tfa,9.570000
tfj,9.910000
teh,9.050000
teb,9.440000
tel,9.500000
tdm,9.960000
tcn,9.130000
tcr,9.130000
tdb,9.250000
tcc,9.690000
tdd,9.730000
tcb,9.820000
tav,9.050000
tbq,9.200000
tbl,9.260000
tbv,9.740000
tbf,9.840000
tbp,9.920000
taz,9.970000
szs,9.030000
tal,9.200000
tat,9.210000
tas,9.220000
tap,9.330000
taf,9.450000
tac,9.600000
syj,9.280000
syk,9.490000
syz,9.950000
syi,9.960000
sxv,9.280000
syd,9.390000
sxw,9.420000
sxf,9.480000
swl,9.110000
swz,9.280000
sws,9.320000
swd,9.470000
svy,9.740000
swq,9.970000
svu,9.010000
svc,9.050000
sux,9.480000
svi,9.560000
svb,9.630000
sur,9.650000
suz,9.710000
svo,9.840000
sup,9.120000
sug,9.310000
sts,9.790000
stu,9.820000
ssx,9.040000
ssw,9.380000
ssy,9.450000
ssv,9.510000
srv,9.040000
srl,9.330000
srd,9.490000
srh,9.780000
ssb,9.840000
srx,9.850000
spu,9.030000
sqg,9.240000
sqe,9.390000
sqv,9.390000
spz,9.620000
sqc,9.640000
sqp,9.740000
spf,9.040000
sos,9.220000
spa,9.520000
spk,9.770000
sol,9.010000
snh,9.030000
snl,9.360000
sny,9.490000
sni,9.620000
sob,9.640000
sno,9.740000
sns,9.890000
sml,9.180000
smx,9.220000
sna,9.230000
smn,9.280000
sms,9.330000
smt,9.330000
sme,9.350000
smf,9.590000
smv,9.830000
smi,9.880000
smy,9.910000
snf,9.930000
sly,9.050000
slc,9.090000
slq,9.140000
slb,9.160000
slt,9.280000
skw,9.350000
sls,9.640000
slh,9.700000
sla,9.870000
sln,9.910000
skr,9.090000
sjo,9.260000
ske,9.280000
ski,9.300000
skp,9.360000
sju,9.800000
skl,9.910000
sjd,9.440000
sij,9.490000
sis,9.670000
sii,9.990000
shh,9.310000
shx,9.780000
shc,9.860000
shl,9.900000
sgv,9.030000
sgf,9.320000
sgl,9.390000
sgg,9.570000
sfy,9.580000
sgr,9.770000
sgw,9.790000
sgx,9.820000
sfz,9.870000
sgy,9.950000
sfe,9.090000
sfr,9.320000
sfn,9.400000
sfl,9.640000
seq,9.680000
ses,9.710000
sfc,9.740000
sfs,9.760000
sfp,9.830000
sex,9.850000
seu,9.950000
sfb,9.960000
sds,9.110000
see,9.240000
sdq,9.350000
sdy,9.510000
sen,9.760000
seb,9.850000
seh,9.940000
scg,9.040000
scn,9.060000
scp,9.250000
scq,9.670000
scu,9.890000
sce,9.940000
scl,9.980000
sbt,9.480000
sbf,9.700000
saw,9.170000
saq,9.210000
sag,9.380000
saa,9.400000
sal,9.420000
sab,9.580000
rzz,9.700000
sam,9.710000
ryr,9.290000
rym,9.530000
ryo,9.650000
rzq,9.880000
rzc,9.900000
rxl,9.050000
rya,9.060000
rxi,9.200000
rye,9.240000
ryl,9.480000
rxu,9.550000
ryc,9.910000
rxh,9.990000
rwc,9.110000
rwh,9.240000
rxe,9.240000
rwd,9.370000
rwa,9.480000
rww,9.560000
rws,9.570000
rwt,9.830000
rwr,9.850000
rwo,9.990000
rwx,10.000000
rvz,9.300000
rvw,9.430000
rvx,9.670000
rvd,9.910000
rtq,9.040000
rut,9.470000
rty,9.520000
rul,9.530000
rud,9.560000
rup,9.570000
ruc,9.660000
rtr,9.680000
rug,9.690000
rto,9.880000
rtv,9.950000
rsw,9.220000
rti,9.250000
rst,9.430000
rsq,9.490000
rsv,9.680000
rsr,9.930000
rrl,9.130000
rrq,9.140000
rsf,9.200000
rrz,9.290000
rsg,9.460000
rse,9.590000
rrk,9.650000
rro,9.700000
rrn,9.860000
rqc,9.140000
rqi,9.230000
rra,9.630000
rpy,9.690000
rqh,10.000000
rpr,9.010000
ros,9.030000
rox,9.040000
rps,9.130000
rpi,9.140000
rpn,9.340000
rpj,9.920000
row,9.960000
rph,9.960000
rpo,9.970000
rnl,9.010000
rnk,9.680000
rmg,9.090000
rmv,9.220000
rne,9.410000
rmo,9.430000
rmm,9.470000
rni,9.650000
rmf,9.710000
rmr,9.960000
rlx,9.150000
rlt,9.520000
rlf,9.530000
rlr,9.550000
rlh,9.700000
rlp,9.970000
rkm,9.310000
rkt,9.640000
rks,9.890000
ris,9.070000
rim,9.090000
rho,9.080000
rhm,9.470000
rhk,9.750000
rij,9.820000
rhx,9.850000
rib,9.920000
rhd,9.170000
rgw,9.180000
rgl,9.420000
rge,9.750000
rgr,9.790000
rgn,9.890000
rfr,9.080000
rfq,9.550000
rep,9.050000
rec,9.230000
ree,9.230000
rdo,9.460000
rdw,9.640000
rds,9.660000
rck,9.020000
rdb,9.060000
rdf,9.610000
rda,9.810000
rde,9.960000
rcf,9.030000
rbk,9.430000
rcc,9.440000
rbo,9.560000
rbv,9.650000
rbt,9.760000
rbz,9.770000
rag,9.100000
raj,9.230000
rap,9.280000
qzx,9.880000
qyt,9.030000
qyq,9.210000
qyr,9.280000
qzr,9.300000
qyv,9.800000
qxm,9.120000
qxu,9.480000
qxt,9.490000
qxk,9.830000
qxz,9.890000
qxi,9.050000
qwf,9.060000
qwr,9.250000
qwo,9.300000
qwz,9.320000
qxh,9.420000
qxa,9.460000
qwt,9.570000
qwy,9.910000
qwc,9.190000
qvi,9.270000
qvf,9.300000
qvh,9.610000
qvs,9.680000
qvm,9.760000
qvt,9.880000
quk,9.300000
qts,9.310000
qud,9.410000
quh,9.680000
quq,9.750000
qua,9.840000
qsu,9.570000
qtf,9.590000
qso,9.920000
qrt,9.180000
qrg,9.400000
qru,9.660000
qrx,9.810000
qrk,9.890000
qrm,9.970000
qqa,9.010000
qqc,9.460000
qqy,9.520000
qrd,9.640000
qqz,9.710000
qre,9.830000
qpf,9.560000
qpr,9.590000
qpn,9.710000
qnw,9.210000
qny,9.260000
qnx,9.290000
qoo,9.380000
qns,9.820000
qor,9.900000
qmt,9.170000
qmz,9.230000
qmo,9.560000
qmu,9.660000
qni,9.820000
qmn,9.830000
qnc,9.900000
qmv,9.920000
qlq,9.250000
qmf,9.370000
qli,9.470000
qmc,9.550000
qlk,9.700000
qlz,9.720000
qjx,9.030000
qlb,9.610000
qke,9.680000
qkp,9.730000
qkw,9.930000
qjm,9.210000
qix,9.250000
qjg,9.320000
qjr,9.450000
qja,9.560000
qjc,9.620000
qjs,9.660000
qju,9.670000
qii,9.030000
qhr,9.040000
qib,9.090000
qie,9.930000
qgv,9.400000
qfi,9.340000
qfd,9.370000
qff,9.510000
qfx,9.580000
qga,9.700000
qfv,9.870000
qgc,9.890000
qfw,9.910000
qfj,10.000000
qed,9.240000
qek,9.340000
qdu,9.430000
qdt,9.520000
qds,9.590000
qev,9.600000
qep,9.630000
qdk,9.080000
qdm,9.120000
qcz,9.250000
qdp,9.380000
qdl,9.470000
qdj,9.640000
qcq,9.860000
qdo,9.920000
qdi,9.980000
qck,9.050000
qcd,9.240000
qbr,9.340000
qbo,9.370000
qcl,9.420000
qbh,9.610000
qbw,9.890000
qal,9.160000
qag,9.500000
qab,9.520000
qbc,9.610000
qaw,9.630000
qah,9.700000
qao,9.760000
qbd,9.880000
pzo,9.220000
pzd,9.540000
pyx,9.610000
pzc,9.980000
pzx,10.000000
pxx,9.300000
pxr,9.370000
pyn,9.500000
pxt,9.690000
pyr,9.760000
pyc,9.810000
pxk,9.460000
pwk,9.630000
pxm,9.760000
pwq,9.900000
pxg,9.950000
pvr,9.470000
pvf,9.550000
pvw,9.710000
pvn,9.790000
pve,9.810000
pvu,9.970000
puc,9.250000
pup,9.380000
puu,9.610000
pux,9.900000
pul,9.910000
ptb,9.030000
ptf,9.230000
psy,9.270000
pte,9.290000
psq,9.330000
ptv,9.420000
pts,9.950000
ptm,9.970000
pse,9.030000
prq,9.760000
psm,9.780000
prz,9.850000
psn,9.930000
pqk,9.460000
poy,9.370000
ppm,9.530000
ppg,9.660000
pqb,9.690000
ppj,9.970000
pnz,9.030000
pom,9.070000
pnw,9.140000
pon,9.920000
pmt,9.520000
pms,9.720000
pmo,9.830000
plw,9.220000
plz,9.280000
plm,9.500000
pln,9.830000
pkk,9.200000
pla,9.380000
plc,9.560000
pkt,9.690000
pkc,9.740000
pky,9.960000
pjy,9.270000
pjv,9.370000
pjr,9.600000
pji,9.700000
pja,9.840000
pjh,9.840000
pjx,9.840000
pjp,9.940000
pht,9.220000
pij,9.400000
pip,9.410000
pim,9.880000
pin,9.980000
piq,10.000000
pgr,9.020000
pgu,9.150000
pgp,9.200000
pgi,9.340000
pgy,9.650000
phi,9.970000
pgg,9.270000
pff,9.340000
pfg,9.540000
pgh,9.680000
pfn,9.750000
pem,9.030000
pdw,9.170000
pfb,9.380000
peg,9.560000
pef,9.600000
pez,9.610000
peb,9.940000
pev,9.990000
pea,10.000000
pde,9.010000
pdl,9.140000
pdo,9.360000
pdt,9.510000
pdb,9.690000
pct,9.780000
pcc,9.020000
pcl,9.050000
pcn,9.050000
pbs,9.080000
pbw,9.410000
pbr,9.420000
pcf,9.670000
pcp,9.950000
pcg,9.970000
pbi,9.460000
pag,9.590000
pau,9.620000
pah,9.640000
pav,9.870000
pai,9.890000
pbd,9.940000
pbg,9.940000
pay,9.990000
paa,9.050000
ozj,9.070000
ozi,9.240000
ozk,9.260000
ozw,9.540000
ozl,9.610000
ozg,9.780000
oxs,9.170000
oyg,9.280000
oyj,9.280000
oxv,9.670000
oyi,9.860000
oym,9.930000
oxc,9.040000
oxh,9.080000
owy,9.380000
oxe,9.490000
owq,9.670000
owd,9.140000
ovy,9.560000
ovi,9.720000
ovo,9.840000
owi,9.860000
oua,9.130000
ouy,9.290000
oup,9.470000
ouo,9.590000
ouh,9.650000
otr,9.130000
oti,9.170000
otd,9.280000
otv,9.390000
otj,9.850000
ory,9.610000
osf,9.620000
ose,9.730000
osm,9.790000
oqk,9.030000
ork,9.030000
orj,9.330000
oqo,9.740000
oqu,9.910000
ore,9.940000
opq,9.250000
oqd,9.390000
opu,9.500000
opt,9.780000
opk,9.790000
opc,9.910000
opi,9.920000
ope,9.960000
oon,9.030000
oox,9.030000
opb,9.100000
oog,9.290000
oop,9.300000
ooj,9.490000
onk,9.220000
omy,9.270000
onq,9.490000
onl,9.650000
omt,9.690000
oly,9.020000
omh,9.080000
omk,9.150000
olt,9.300000
olx,9.570000
omf,9.910000
okm,9.030000
oky,9.550000
oke,9.580000
ola,9.670000
oki,9.830000
okh,9.850000
oju,9.300000
ojg,9.470000
ojw,9.750000
oka,9.850000
okd,9.910000
ohz,9.060000
oid,9.350000
ois,9.460000
oik,9.520000
oir,9.940000
ohi,9.190000
ohc,9.730000
ohm,9.800000
ofr,9.130000
ofs,9.180000
ofp,9.230000
ofx,9.380000
ogk,9.780000
ofy,9.810000
ofa,9.330000
oeb,9.350000
ofd,9.480000
oeh,9.580000
oeu,9.590000
oes,9.740000
oel,9.800000
odm,9.270000
odq,9.360000
odt,9.490000
odg,9.640000
oct,9.100000
och,9.240000
oci,9.240000
ocn,9.350000
ocj,9.430000
ocl,9.500000
ocs,9.770000
ocq,9.980000
obc,9.060000
obh,9.120000
oam,9.130000
obn,9.300000
oaz,9.400000
oaj,9.770000
obj,9.870000
nzu,9.040000
oae,9.250000
oab,9.500000
nzi,9.860000
oah,9.970000
nyo,9.400000
nyb,9.410000
nys,9.500000
nyk,9.670000
nyh,9.770000
nxx,9.810000
nxf,9.080000
nww,9.260000
nwr,9.320000
nwx,9.410000
nwv,9.800000
nxa,9.800000
nwa,9.370000
nwm,9.400000
nvp,9.610000
nvq,9.670000
nwp,9.820000
nwf,9.930000
nvs,9.980000
nwg,9.980000
nuw,9.290000
nus,9.570000
nur,9.680000
nuv,9.720000
nux,9.920000
nut,9.930000
nti,9.070000
nte,9.170000
ntv,9.320000
nsz,9.360000
nub,9.390000
ntr,9.680000
nth,9.690000
ntj,9.750000
nta,10.000000
